url,job_type,title,date_posted,salary,description,tags,job_id
https://www.onlinejobs.ph/jobseekers/job/Schedule-Manager-for-Nursing-homes-Central-Scheduler-healthcare-1608363,Full Time,Schedule Manager for Nursing homes (Central Scheduler) healthcare,2026-04-21 00:21:56,$2.50 - $4.50 hourly,Schedule Manager for Nursing homes (Central Scheduler) healthcare Full-Time | Remote | US-Based Healthcare Company Submission of a CV/resume is required to be considered for this position. Applications without a resume will not be considered Experience Required: Long-Term Care /…,"Bpo Operations Management, Scheduling",
https://www.onlinejobs.ph/jobseekers/job/Logo-and-Social-Media-Banner-Design-1628106,Gig,Logo and Social Media Banner Design,2026-04-21 00:21:39,50$,I'm building a new brand and I need help with creating a professional logo and social media banner to establish a strong visual identity.,,
https://www.onlinejobs.ph/jobseekers/job/Revenue-Manager-for-hotels-and-accommodation-1628105,Full Time,Revenue Manager for hotels and accommodation,2026-04-21 00:21:07,£700,We are looking for someone with experience in revenue management for hotels and accommodation. This mainly includes looking at nightly rates in the Liverpool area and comparing prices making sure we are competitive. Also looking forward to future events and…,Revenue Management,
https://www.onlinejobs.ph/jobseekers/job/Klaviyo-Email-Marketing-Intern-1628104,Any,Klaviyo Email Marketing Intern,2026-04-21 00:20:34,100,"Mvolo is a fast growing Dutch ecommerce brand in the light therapy space. We sell premium red light, infrared and daylight products across Europe. We are building a small, high performing remote team and we care deeply about quality, ownership…","Email Marketing, Data Entry, Klaviyo",
https://www.onlinejobs.ph/jobseekers/job/SEO-IMPLEMENTER-Full-Time-40-hrsweek-600800month-Long-Term-Position-1628102,Full Time,SEO IMPLEMENTER Full-Time (40 hrs/week) | $600–$800/month | Long-Term Position,2026-04-21 00:17:07,$600-$800,"SEO IMPLEMENTER Full-Time (40 hrs/week) | $600–$800/month | Long-Term Position We pay above market because we want a top person, not a warm body. Most SEO listings on this platform are $300–$500. We're paying $600–$800 because we want someone professional,…","Off-Page, On-Page, Elementor",
https://www.onlinejobs.ph/jobseekers/job/Receptionist-Front-Desk-1628101,Full Time,Receptionist / Front Desk,2026-04-21 00:15:12,3,"About Us Thomas Law Firm is a dynamic, client-focused law firm specializing in Civil Litigation, Real Estate Law, and Estate Planning. We are committed to providing high-quality legal services with compassion, respect, and professionalism. We pride ourselves on creating a…","Office and Administration, Calendar Management, Customer Service",
https://www.onlinejobs.ph/jobseekers/job/Senior-eCom-Video-Editor-1622903,Full Time,Senior eCom Video Editor,2026-04-21 00:14:57,$10.00 - $16.00 hourly,"Senior eCom Video Editor, Full-Time (Remote, Philippines) Rate: $10–$16/hr USD depending on experience Commitment: Full-time, 40 hours/week minimum, sole focus role (no freelancing or gigs on the side) What you'll do: Create high-performing eCom video ads daily from written scripts,…","After Effects, Photoshop, Adobe Premiere Pro",
https://www.onlinejobs.ph/jobseekers/job/Marketing-Social-Media-Manager-1624969,Full Time,Marketing & Social Media Manager,2026-04-21 00:13:40,$7 hr,"Marketing & Social Media Manager (Content + Strategy) Remote | Full-Time | Eastern Time Hours Effortless Beauty is a luxury bridal hair and makeup company based in Tennessee, USA, serving Knoxville, Chattanooga, Nashville, and surrounding areas. We are growing quickly…","Email Marketing, Social Media Management, Graphic Design",
https://www.onlinejobs.ph/jobseekers/job/Social-Media-Messaging-Assistant-Part-Time-Remote-1628098,Part Time,"Social Media Messaging Assistant (Part-Time, Remote)",2026-04-21 00:13:10,$3 - $5 per hour,"ABOUT THE ROLE We're hiring a detail-oriented virtual assistant to manage social media messaging and profile sorting across multiple platforms on behalf of clients. This is a daily, ongoing role - approximately 2 hours per day, 7 days a week.…",,
https://www.onlinejobs.ph/jobseekers/job/Media-Researcher-Viral-Clips-Best-Moments-1628096,Any,"Media Researcher – Viral Clips & ""Best Moments""",2026-04-21 00:11:43,,"Find high-quality clips from YouTube, TikTok, and IG based on specific topics. Upload raw, high-quality footage to Google Drive. Include a document/sheet with specific timestamps for the ""best moments"" in each file. Zero watermarks or UI overlays. High resolution (1080p…",,
https://www.onlinejobs.ph/jobseekers/job/Public-Relations-Coordinator-1576479,Part Time,Public Relations Coordinator,2026-04-21 00:10:34,$4.50 per hour,"Tremendous Communications is seeking a highly organized and detail-oriented Publicity Coordinator to support our PR and campaign teams across film, television, and brand projects. This role is ideal for someone who understands the pace of publicity work and thrives in…","Communication, Public Relation, Writing",
https://www.onlinejobs.ph/jobseekers/job/Video-Editor-DTC-eCommerce-1593394,Full Time,Video Editor (DTC eCommerce),2026-04-21 00:09:01,Competitive salary based on experience,"About Us We are a fast-growing health and wellness brand obsessed with customer psychology and creative excellence. We don't just ""make content,"" we build high-performance assets that drive millions in revenue. We are looking for a Video Editor who is…",Video Editing,
https://www.onlinejobs.ph/jobseekers/job/EDD-Disability-Coordinator-1628095,Full Time,EDD Disability Coordinator,2026-04-21 00:08:36,$4.50 per hr,Work Schedule: Full-Time | Monday–Friday | 8:00 AM – 5:00 PM (PST) Compensation: $4.50 per hr - 40 hours per week Work Setup: Remote We are looking for a detail-oriented and reliable EDD Disability Coordinator to assist patients and healthcare…,,
https://www.onlinejobs.ph/jobseekers/job/Urgent-Financial-Analyst-with-General-Admin-Experience-Cebu-Based-Preferred-1628094,Full Time,Urgent Financial Analyst with General Admin Experience (Cebu Based Preferred),2026-04-21 00:07:25,"Php50,000 - Php70,000","We are urgently seeking a highly analytical and detail-oriented Financial Analyst to support our CEO and Finance/Accounting Team. This role will work closely with our current Financial Analyst and assist in driving financial insights, forecasting, reporting, and strategic analysis across…","Finance Management, Financial Analysis, Financial Forcasting",
https://www.onlinejobs.ph/jobseekers/job/Customer-Service-Operations-Manager-1628092,Full Time,Customer Service Operations Manager,2026-04-21 00:05:02,"$700-$1,100/month","HALO HOSPITALITY Customer Service Manager Guest Operations • Team Leadership • AI Integration Full-Time | Remote | Independent Contractor | $900–$1,200/mo | EST Hours ABOUT HALO HOSPITALITY Halo Hospitality is a full-service vacation rental management company based in Knoxville, Tennessee.…","Notion, Client Relationship Management, AI Automation",
https://www.onlinejobs.ph/jobseekers/job/Shopify-ads-expert-1628090,Full Time,Shopify ads expert,2026-04-21 00:04:33,450,"We have a jewelry Shopify store, we’re looking for someone with expertise in running ads the right way to bring in sales on the store through multiple platforms.","Performance Marketing, Facebook Ads, Shopify",
https://www.onlinejobs.ph/jobseekers/job/Experienced-Local-SEO-Specialist-US-Agency-Part-Time-to-Full-Time-1625028,Full Time,Experienced Local SEO Specialist - US Agency (Part-Time to Full-Time,2026-04-21 00:02:54,8,"We're a US-based digital marketing agency working with local businesses (agricultural, service-based, and professional companies). We're looking for an experienced local SEO specialist to manage the execution of our SEO campaigns across multiple clients. This is not a data entry…","SEO, Keyword Research, Link Building",
https://www.onlinejobs.ph/jobseekers/job/Senior-Admin-Assistant-1628087,Full Time,Senior Admin Assistant,2026-04-21 00:02:47,25k to 35k PHP monthly,"Job Title: Senior Admin Assistant + Calling VA (Full-Time | Long-Term | High-Performance Role) About Us: We are a fast-growing US-based business management firm helping businesses with operations, finance, marketing, and funding support. We are building a strong remote team…","Microsoft Excel, Documentation, Outbound Calls",
https://www.onlinejobs.ph/jobseekers/job/Senior-Graphic-Designer-with-Modern-Skill-with-AI-Prompting-Master-Skils-and-proven-experience-with-Amazon-1622810,Full Time,Senior Graphic Designer with Modern Skill with AI Prompting Master Skils and proven experience with Amazon,2026-04-21 00:02:23,$1000-$1200 USD/mth,"ABOUT US Since 2013, Prodigy Media has built more than brands — we've created an Amazon-native empire. With 12 years of proven success and 28+ product lines under our belt, we don't play small. Our mission? Launch culturally resonant, design-led,…",,
https://www.onlinejobs.ph/jobseekers/job/Medication-Prior-Authorizations-Remote-1628118,Full Time,Medication Prior Authorizations (Remote),2026-04-21 00:28:03,Work Schedule: Full-Time | Monday–Friday | 8:00 AM – 5:00 PM (PST)Compensation: $4.50 per hr - 40 hours per weekWork Setup: RemoteWe are seeking a detail-oriented and motivated Medication Prior Authorization Specialist Coordinator to join our growing…See More,Work Schedule: Full-Time | Monday–Friday | 8:00 AM – 5:00 PM (PST) Compensation: $4.50 per hr - 40 hours per week Work Setup: Remote We are seeking a detail-oriented and motivated Medication Prior Authorization Specialist Coordinator to join our growing…,,
https://www.onlinejobs.ph/jobseekers/job/Technical-Writer-VA-Simplify-Safety-Document-Build-Monthly-Form-1628117,Part Time,Technical Writer / VA – Simplify Safety Document + Build Monthly Form,2026-04-21 00:27:25,$1-4/hour,Job Description Paste this: We are a small utility contractor looking for help simplifying and organizing an existing safety document (Code of Practice). The document is already written — we need someone to: simplify wording and improve clarity restructure sections…,"Technical Writing, Data Entry, Administrative Support",
https://www.onlinejobs.ph/jobseekers/job/AI-Content-Creator-Long-Term-Role-Training-Provided-1623556,Full Time,AI Content Creator – Long Term Role (Training Provided),2026-04-21 00:26:37,500,"Important – How to Apply Our inbox is not monitored, and applications sent via message will NOT be reviewed. To be considered, you must apply through this Google Form: forms.gle/5KZz25X9Vb4bkas68 We’re looking for a reliable, tech-savvy team member to help…",,
https://www.onlinejobs.ph/jobseekers/job/Global-Virtual-Assistant-1615274,Full Time,Global Virtual Assistant,2026-04-21 00:26:24,"P40,000 - P50,000","POSITION SUMMARY The Global Virtual Assistant provides administrative and operational support to executive leadership. This role is responsible for managing schedules, coordinating team workflows, supporting meetings and events, and ensuring day-to-day administrative functions run smoothly. The ideal candidate is organized,…",,
https://www.onlinejobs.ph/jobseekers/job/Social-Media-VA-AI-Assisted-Content-GBP-Video-Editing-1628115,Full Time,"Social Media VA | AI-Assisted Content, GBP + Video Editing",2026-04-21 00:25:59,700,"This is not a posting role. It is a content operations role. We run social media for [your business or clients]. You will own the content engine — from idea to edit to publish to report. You will build systems,…","Social Media Video Editing, Social Media Marketing, AI Automation",
https://www.onlinejobs.ph/jobseekers/job/Gaming-Long-Form-Video-Editor-1628113,Full Time,Gaming Long Form Video Editor,2026-04-21 00:25:02,3.60 / Hour,"We need a long form gaming editor for our channel with 1.5 million subscribers. To apply you must have previous experience editing high retention gaming videos, and you must send previous works. Job Description: The job requires finishing 1-2 long…",Video Editing,
https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-Life-Insurance-Ops-Social-Media-1628112,Any,Executive Assistant (Life Insurance Ops + Social Media),2026-04-21 00:24:36,"40,000PHP - 50,000PHP",Position / Role Executive Assistant (Life Insurance Ops + Social Media) Job Description Looking for an executive assistant to train full time in 3 phases. Phase 1: Insurance Admin specifically familiar with Sunlife insurance and has an idea of supporting…,,
https://www.onlinejobs.ph/jobseekers/job/Operations-Assistant-1288947,Full Time,Operations Assistant,2026-04-21 00:23:15,$4/hr,Work Hours: Full-Time | Wednesday - Sunday | 9AM-5PM Pacific Time Starting Wage: $4/hr Summary: We are a real estate media company that takes photos and videos of properties for our Real Estate Agent clients. We are a growing company…,"Project Management, Attention to Detail, English Proficiency",
https://www.onlinejobs.ph/jobseekers/job/Chatbot-Flow-Builder-API-Integration-Developer-1628109,Full Time,Chatbot Flow Builder & API Integration Developer,2026-04-21 00:22:50,$15.00/hour+,"We currently have a chatbot that can look up and cancel orders. We are looking to significantly expand its capabilities and move toward a more advanced, action-based system. Planned enhancements include: • Supporting additional order lookup methods (purchase order numbers,…","API Development, REST API, API Integration",
https://www.onlinejobs.ph/jobseekers/job/Digital-Marketing-VA-US-Night-Shift-1436812,Full Time,Digital Marketing VA (U.S. Night Shift),2026-04-21 00:22:10,$1000 U.S.D,"Job Summary: We are seeking a creative and detail-oriented Social Media Marketer to manage and grow our social media presence across multiple platforms. The ideal candidate will have hands-on experience in posting and scheduling content, video editing for social media…","Social Media Content Creation, Graphic Design",
https://www.onlinejobs.ph/jobseekers/job/GHL-VA-B2B-Outreach-EAP-Nurture-Campaign-1628107,Part Time,GHL VA — B2B Outreach & EAP Nurture Campaign,2026-04-21 00:21:59,5-7.50,About the role We're a growing chiropractic practice in St. Louis running a B2B corporate wellness program called CareConnect. We're hiring a VA to own our outbound EAP (Employee Assistance Program) nurture campaign — from sourcing and organizing prospect lists…,GoHighLevel,
https://www.onlinejobs.ph/jobseekers/job/Schedule-Manager-for-Nursing-homes-Central-Scheduler-healthcare-1608363,Full Time,Schedule Manager for Nursing homes (Central Scheduler) healthcare,2026-04-21 00:21:56,$2.50 - $4.50 hourly,Schedule Manager for Nursing homes (Central Scheduler) healthcare Full-Time | Remote | US-Based Healthcare Company Submission of a CV/resume is required to be considered for this position. Applications without a resume will not be considered Experience Required: Long-Term Care /…,"Bpo Operations Management, Scheduling",
https://www.onlinejobs.ph/jobseekers/job/Logo-and-Social-Media-Banner-Design-1628106,Gig,Logo and Social Media Banner Design,2026-04-21 00:21:39,50$,I'm building a new brand and I need help with creating a professional logo and social media banner to establish a strong visual identity.,,
https://www.onlinejobs.ph/jobseekers/job/Revenue-Manager-for-hotels-and-accommodation-1628105,Full Time,Revenue Manager for hotels and accommodation,2026-04-21 00:21:07,£700,We are looking for someone with experience in revenue management for hotels and accommodation. This mainly includes looking at nightly rates in the Liverpool area and comparing prices making sure we are competitive. Also looking forward to future events and…,Revenue Management,
https://www.onlinejobs.ph/jobseekers/job/Klaviyo-Email-Marketing-Intern-1628104,Any,Klaviyo Email Marketing Intern,2026-04-21 00:20:34,100,"Mvolo is a fast growing Dutch ecommerce brand in the light therapy space. We sell premium red light, infrared and daylight products across Europe. We are building a small, high performing remote team and we care deeply about quality, ownership…","Email Marketing, Data Entry, Klaviyo",
https://www.onlinejobs.ph/jobseekers/job/SEO-IMPLEMENTER-Full-Time-40-hrsweek-600800month-Long-Term-Position-1628102,Full Time,SEO IMPLEMENTER Full-Time (40 hrs/week) | $600–$800/month | Long-Term Position,2026-04-21 00:17:07,$600-$800,"SEO IMPLEMENTER Full-Time (40 hrs/week) | $600–$800/month | Long-Term Position We pay above market because we want a top person, not a warm body. Most SEO listings on this platform are $300–$500. We're paying $600–$800 because we want someone professional,…","Off-Page, On-Page, Elementor",
https://www.onlinejobs.ph/jobseekers/job/Receptionist-Front-Desk-1628101,Full Time,Receptionist / Front Desk,2026-04-21 00:15:12,3,"About Us Thomas Law Firm is a dynamic, client-focused law firm specializing in Civil Litigation, Real Estate Law, and Estate Planning. We are committed to providing high-quality legal services with compassion, respect, and professionalism. We pride ourselves on creating a…","Office and Administration, Calendar Management, Customer Service",
https://www.onlinejobs.ph/jobseekers/job/Senior-eCom-Video-Editor-1622903,Full Time,Senior eCom Video Editor,2026-04-21 00:14:57,$10.00 - $16.00 hourly,"Senior eCom Video Editor, Full-Time (Remote, Philippines) Rate: $10–$16/hr USD depending on experience Commitment: Full-time, 40 hours/week minimum, sole focus role (no freelancing or gigs on the side) What you'll do: Create high-performing eCom video ads daily from written scripts,…","After Effects, Photoshop, Adobe Premiere Pro",
https://www.onlinejobs.ph/jobseekers/job/Marketing-Social-Media-Manager-1624969,Full Time,Marketing & Social Media Manager,2026-04-21 00:13:40,$7 hr,"Marketing & Social Media Manager (Content + Strategy) Remote | Full-Time | Eastern Time Hours Effortless Beauty is a luxury bridal hair and makeup company based in Tennessee, USA, serving Knoxville, Chattanooga, Nashville, and surrounding areas. We are growing quickly…","Email Marketing, Social Media Management, Graphic Design",
https://www.onlinejobs.ph/jobseekers/job/Social-Media-Messaging-Assistant-Part-Time-Remote-1628098,Part Time,"Social Media Messaging Assistant (Part-Time, Remote)",2026-04-21 00:13:10,$3 - $5 per hour,"ABOUT THE ROLE We're hiring a detail-oriented virtual assistant to manage social media messaging and profile sorting across multiple platforms on behalf of clients. This is a daily, ongoing role - approximately 2 hours per day, 7 days a week.…",,
https://www.onlinejobs.ph/jobseekers/job/Media-Researcher-Viral-Clips-Best-Moments-1628096,Any,"Media Researcher – Viral Clips & ""Best Moments""",2026-04-21 00:11:43,,"Find high-quality clips from YouTube, TikTok, and IG based on specific topics. Upload raw, high-quality footage to Google Drive. Include a document/sheet with specific timestamps for the ""best moments"" in each file. Zero watermarks or UI overlays. High resolution (1080p…",,
https://www.onlinejobs.ph/jobseekers/job/Public-Relations-Coordinator-1576479,Part Time,Public Relations Coordinator,2026-04-21 00:10:34,$4.50 per hour,"Tremendous Communications is seeking a highly organized and detail-oriented Publicity Coordinator to support our PR and campaign teams across film, television, and brand projects. This role is ideal for someone who understands the pace of publicity work and thrives in…","Communication, Public Relation, Writing",
https://www.onlinejobs.ph/jobseekers/job/Video-Editor-DTC-eCommerce-1593394,Full Time,Video Editor (DTC eCommerce),2026-04-21 00:09:01,Competitive salary based on experience,"About Us We are a fast-growing health and wellness brand obsessed with customer psychology and creative excellence. We don't just ""make content,"" we build high-performance assets that drive millions in revenue. We are looking for a Video Editor who is…",Video Editing,
https://www.onlinejobs.ph/jobseekers/job/EDD-Disability-Coordinator-1628095,Full Time,EDD Disability Coordinator,2026-04-21 00:08:36,$4.50 per hr,Work Schedule: Full-Time | Monday–Friday | 8:00 AM – 5:00 PM (PST) Compensation: $4.50 per hr - 40 hours per week Work Setup: Remote We are looking for a detail-oriented and reliable EDD Disability Coordinator to assist patients and healthcare…,,
https://www.onlinejobs.ph/jobseekers/job/Urgent-Financial-Analyst-with-General-Admin-Experience-Cebu-Based-Preferred-1628094,Full Time,Urgent Financial Analyst with General Admin Experience (Cebu Based Preferred),2026-04-21 00:07:25,"Php50,000 - Php70,000","We are urgently seeking a highly analytical and detail-oriented Financial Analyst to support our CEO and Finance/Accounting Team. This role will work closely with our current Financial Analyst and assist in driving financial insights, forecasting, reporting, and strategic analysis across…","Finance Management, Financial Analysis, Financial Forcasting",
https://www.onlinejobs.ph/jobseekers/job/Customer-Service-Operations-Manager-1628092,Full Time,Customer Service Operations Manager,2026-04-21 00:05:02,"$700-$1,100/month","HALO HOSPITALITY Customer Service Manager Guest Operations • Team Leadership • AI Integration Full-Time | Remote | Independent Contractor | $900–$1,200/mo | EST Hours ABOUT HALO HOSPITALITY Halo Hospitality is a full-service vacation rental management company based in Knoxville, Tennessee.…","Notion, Client Relationship Management, AI Automation",
https://www.onlinejobs.ph/jobseekers/job/Shopify-ads-expert-1628090,Full Time,Shopify ads expert,2026-04-21 00:04:33,450,"We have a jewelry Shopify store, we’re looking for someone with expertise in running ads the right way to bring in sales on the store through multiple platforms.","Performance Marketing, Facebook Ads, Shopify",
https://www.onlinejobs.ph/jobseekers/job/Experienced-Local-SEO-Specialist-US-Agency-Part-Time-to-Full-Time-1625028,Full Time,Experienced Local SEO Specialist - US Agency (Part-Time to Full-Time,2026-04-21 00:02:54,8,"We're a US-based digital marketing agency working with local businesses (agricultural, service-based, and professional companies). We're looking for an experienced local SEO specialist to manage the execution of our SEO campaigns across multiple clients. This is not a data entry…","SEO, Keyword Research, Link Building",
https://www.onlinejobs.ph/jobseekers/job/Senior-Admin-Assistant-1628087,Full Time,Senior Admin Assistant,2026-04-21 00:02:47,25k to 35k PHP monthly,"Job Title: Senior Admin Assistant + Calling VA (Full-Time | Long-Term | High-Performance Role) About Us: We are a fast-growing US-based business management firm helping businesses with operations, finance, marketing, and funding support. We are building a strong remote team…","Microsoft Excel, Documentation, Outbound Calls",
https://www.onlinejobs.ph/jobseekers/job/Senior-Graphic-Designer-with-Modern-Skill-with-AI-Prompting-Master-Skils-and-proven-experience-with-Amazon-1622810,Full Time,Senior Graphic Designer with Modern Skill with AI Prompting Master Skils and proven experience with Amazon,2026-04-21 00:02:23,$1000-$1200 USD/mth,"ABOUT US Since 2013, Prodigy Media has built more than brands — we've created an Amazon-native empire. With 12 years of proven success and 28+ product lines under our belt, we don't play small. Our mission? Launch culturally resonant, design-led,…",,
https://www.onlinejobs.ph/jobseekers/job/Medication-Prior-Authorizations-Remote-1628118,Full Time,Medication Prior Authorizations (Remote),2026-04-21 00:28:03,Work Schedule: Full-Time | Monday–Friday | 8:00 AM – 5:00 PM (PST)Compensation: $4.50 per hr - 40 hours per weekWork Setup: RemoteWe are seeking a detail-oriented and motivated Medication Prior Authorization Specialist Coordinator to join our growing…See More,Work Schedule: Full-Time | Monday–Friday | 8:00 AM – 5:00 PM (PST) Compensation: $4.50 per hr - 40 hours per week Work Setup: Remote We are seeking a detail-oriented and motivated Medication Prior Authorization Specialist Coordinator to join our growing…,,
https://www.onlinejobs.ph/jobseekers/job/Technical-Writer-VA-Simplify-Safety-Document-Build-Monthly-Form-1628117,Part Time,Technical Writer / VA – Simplify Safety Document + Build Monthly Form,2026-04-21 00:27:25,$1-4/hour,Job Description Paste this: We are a small utility contractor looking for help simplifying and organizing an existing safety document (Code of Practice). The document is already written — we need someone to: simplify wording and improve clarity restructure sections…,"Technical Writing, Data Entry, Administrative Support",
https://www.onlinejobs.ph/jobseekers/job/AI-Content-Creator-Long-Term-Role-Training-Provided-1623556,Full Time,AI Content Creator – Long Term Role (Training Provided),2026-04-21 00:26:37,500,"Important – How to Apply Our inbox is not monitored, and applications sent via message will NOT be reviewed. To be considered, you must apply through this Google Form: forms.gle/5KZz25X9Vb4bkas68 We’re looking for a reliable, tech-savvy team member to help…",,
https://www.onlinejobs.ph/jobseekers/job/Global-Virtual-Assistant-1615274,Full Time,Global Virtual Assistant,2026-04-21 00:26:24,"P40,000 - P50,000","POSITION SUMMARY The Global Virtual Assistant provides administrative and operational support to executive leadership. This role is responsible for managing schedules, coordinating team workflows, supporting meetings and events, and ensuring day-to-day administrative functions run smoothly. The ideal candidate is organized,…",,
https://www.onlinejobs.ph/jobseekers/job/Social-Media-VA-AI-Assisted-Content-GBP-Video-Editing-1628115,Full Time,"Social Media VA | AI-Assisted Content, GBP + Video Editing",2026-04-21 00:25:59,700,"This is not a posting role. It is a content operations role. We run social media for [your business or clients]. You will own the content engine — from idea to edit to publish to report. You will build systems,…","Social Media Video Editing, Social Media Marketing, AI Automation",
https://www.onlinejobs.ph/jobseekers/job/Gaming-Long-Form-Video-Editor-1628113,Full Time,Gaming Long Form Video Editor,2026-04-21 00:25:02,3.60 / Hour,"We need a long form gaming editor for our channel with 1.5 million subscribers. To apply you must have previous experience editing high retention gaming videos, and you must send previous works. Job Description: The job requires finishing 1-2 long…",Video Editing,
https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-Life-Insurance-Ops-Social-Media-1628112,Any,Executive Assistant (Life Insurance Ops + Social Media),2026-04-21 00:24:36,"40,000PHP - 50,000PHP",Position / Role Executive Assistant (Life Insurance Ops + Social Media) Job Description Looking for an executive assistant to train full time in 3 phases. Phase 1: Insurance Admin specifically familiar with Sunlife insurance and has an idea of supporting…,,
https://www.onlinejobs.ph/jobseekers/job/Operations-Assistant-1288947,Full Time,Operations Assistant,2026-04-21 00:23:15,$4/hr,Work Hours: Full-Time | Wednesday - Sunday | 9AM-5PM Pacific Time Starting Wage: $4/hr Summary: We are a real estate media company that takes photos and videos of properties for our Real Estate Agent clients. We are a growing company…,"Project Management, Attention to Detail, English Proficiency",
https://www.onlinejobs.ph/jobseekers/job/Chatbot-Flow-Builder-API-Integration-Developer-1628109,Full Time,Chatbot Flow Builder & API Integration Developer,2026-04-21 00:22:50,$15.00/hour+,"We currently have a chatbot that can look up and cancel orders. We are looking to significantly expand its capabilities and move toward a more advanced, action-based system. Planned enhancements include: • Supporting additional order lookup methods (purchase order numbers,…","API Development, REST API, API Integration",
